POINT_ID,sample_ID,GPS_LAT,GPS_LONG,median
27641832,17688,37.9298,-7.76052,0.12227983772754669
27881848,17663,38.1206,-7.5314,0.14994871616363525
27981828,17727,37.96502,-7.37406,0.16358143091201782
27961830,17724,37.97855,-7.40087,0.1369093656539917
28241746,3926,37.29403,-6.90257,0.12612313032150269
28301756,3925,37.39431,-6.85842,0.12119725346565247
28421754,3919,37.40038,-6.72175,0.16290247440338135
28761726,3866,37.2188,-6.28708,0.14127540588378906
28921714,3884,37.1431,-6.08538,-0.049624353647232056
28901724,3863,37.22767,-6.12812,0.028604337945580482
28981750,3946,37.47332,-6.09497,0.12442024052143097
28821746,3914,37.40736,-6.26326,0.19050520658493042
28741750,3918,37.42678,-6.35954,0.11274079233407974
28721752,3917,37.44123,-6.3864,0.11658312380313873
28921756,3945,37.51503,-6.17394,0.13658201694488525
29041754,3947,37.5201,-6.03703,0.17465826869010925
29021756,3940,37.53403,-6.06335,0.08835192769765854
29181758,3930,37.5819,-5.89044,0.11970829963684082
29261748,3931,37.50821,-5.78119,0.1544739454984665
29261730,3907,37.34863,-5.7442,0.11574240773916245
29201738,3908,37.40839,-5.8269,0.1655588150024414
29021750,3944,37.48089,-6.05075,0.09812261164188385
28981732,3864,37.31388,-6.05728,0.1712934374809265
29001728,3867,37.28222,-6.0269,0.1046743094921112
28981714,3871,37.15503,-6.01948,0.059527963399887085
29081716,3869,37.19093,-5.9139,0.12892979383468628
29161724,3913,37.276836,-5.842224,0.14525960385799408
29181710,3879,37.15642,-5.79147,0.11632654070854187
29361718,3852,37.26069,-5.6094,0.1310020238161087
29301726,3851,37.32057,-5.69189,0.12168775498867035
29341742,3912,37.469887,-5.6804,0.1259153187274933
29441742,3902,37.48828,-5.56974,0.09989163279533386
29381732,3856,37.38856,-5.61576,0.1073809340596199
29481730,3897,37.38916,-5.50121,0.1279737651348114
29461732,3898,37.40325,-5.52736,0.10780207812786102
29501736,3900,37.44606,-5.49121,0.11118127405643463
29561738,3901,37.47474,-5.42887,0.10399207472801208
29521732,3896,37.4142,-5.46103,0.12342147529125214
29421720,3857,37.28945,-5.54726,0.12396007031202316
29781702,3889,37.19468,-5.11433,0.10517994314432144
29701714,3890,37.28696,-5.22623,0.10027191042900085
29721718,3891,37.32609,-5.21206,0.11636517941951752
29821720,3899,37.36174,-5.1055,0.16036143898963928
29801730,3894,37.447,-5.14732,0.15688103437423706
29741732,3850,37.45401,-5.21768,0.11776728928089142
29721740,3942,37.52146,-5.25575,0.10928715765476227
29701738,3943,37.50009,-5.2739,0.11907775700092316
29681740,3941,37.51385,-5.30039,0.10880575329065323
29701732,3892,37.44682,-5.26193,0.11241955310106277
